,0
0,2635.1198293795715
1,1500.6615550686608
2,1121.046605721106
3,909.6694421213055
4,776.4336278442587
5,724.2015864895997
6,600.5008736601369
7,588.0717574847653
8,550.7765144571846
9,517.2189421202838
10,472.5512350074619
11,422.9617271490059
12,404.13427992658194
13,386.9363857633381
14,342.7590128822226
15,335.82312393936485
16,313.99301574412624
17,298.2531220557929
18,267.81664749984236
19,253.79972200903808
20,233.59806714163574
21,221.8802016395347
22,206.29959955013032
23,194.3124175328217
24,182.67393272009696
25,170.7677518945274
26,155.46949396506125
