,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27
0,16287,16255,16223,16191,16159,16127,16095,16063,16031,15999,15967,15935,15903,15871,15839,15807,991,1023,15775,959,15,1055,47,15743,253,285,15711
1,12788,12820,12852,12756,12724,12884,12692,12916,12660,12628,12948,12596,12564,12980,12532,12500,12468,13012,12436,12404,12372,12020,11988,12052,11956,12340,13044
2,8913,8945,8881,8977,8849,9009,8817,9041,8785,9073,8753,9105,8721,9137,8689,9169,8657,9201,9233,8625,9265,9297,8593,9329,9361,8561,9393
3,6282,6250,6314,6218,6186,6346,6154,6378,6122,6410,6090,6058,6026,5994,6442,5962,5930,5898,5866,5834,5802,5770,5738,6474,5706,5674,5642
4,11626,11658,11690,11594,11562,11722,11530,11754,11498,11786,11466,11818,11434,11850,11882,11402,11914,11370,11946,11338,11978,58,11306,90,12010,12042,12074
5,16215,16183,16247,16151,16279,16119,16087,16055,13727,13695,13759,13663,13791,13823,10670,13631,10702,10606,10638,13855,13599,10734,13887,10766,16023,13567,10574
6,11871,11839,11903,11807,11935,11775,11967,11743,11711,11999,6591,6623,6559,6655,6687,6527,6719,6495,6751,11679,6463,12031,6783,6431,6815,6847,6399
7,12150,12118,12182,12086,12214,12246,11990,11958,12054,12278,11926,12022,12310,11894,12342,12374,11862,12406,11798,12438,11830,11766,12470,11734,12502,11702,12534
8,1314,1346,1282,1378,1250,1410,1218,2402,2434,2370,1186,1442,2466,2338,1154,2498,2306,1474,1122,2530,2274,1090,1506,1058,2562,2242,396
9,2122,2154,2090,2186,2058,2218,2026,1994,2250,2282,1962,2314,1930,2346,1898,2378,1866,2410,1834,2442,1802,2474,13158,13190,13126,1770,13222
10,15378,15346,15314,15282,15410,15250,15442,15218,15474,15506,15186,15538,15154,15570,15602,15122,5130,5098,5162,5066,5194,5034,5226,5002,4970,5258,15634
11,655,16271,623,687,719,15334,15302,15366,15270,751,591,15398,15238,15430,15206,16239,1417,1449,15462,1513,783,1545,559,15174,1385,1577,15494
12,4483,4451,4515,4419,4547,4387,4579,4355,4611,4323,4643,4291,4259,4675,4227,4707,4195,4739,4163,4771,4131,4803,4099,4835,5603,5635,5571
13,15468,15436,15500,15404,15532,15372,15564,15340,15308,15596,15628,15276,96,128,64,160,32,15244,192,0,15660,224,15212,256,15180,9751,9719
14,1393,1361,1425,1457,1329,1489,1521,1297,1553,1585,1265,1617,1649,1681,1713,1745,1777,1809,1841,1873,1905,1233,1937,1969,2001,1201,2033
15,2215,2183,2247,2151,2279,2119,2311,2343,2087,2375,2407,5095,5127,5063,2055,5159,2439,5031,5191,2471,4999,3015,2983,5223,3047,2951,2503
16,306,338,274,370,402,242,434,210,466,498,178,530,874,906,261,293,842,229,562,938,325,810,594,197,970,357,778
17,15488,15456,15520,15424,15997,15392,15965,15552,15360,15584,15328,15296,15264,15616,15232,15200,15648,15168,15136,15104,15680,15072,15040,15008,15712,14976,14944
18,8487,8519,8551,8455,8583,8423,8615,8647,8391,8679,9767,8935,9799,8967,9735,8711,8903,8999,9831,8871,8743,9703,8839,9031,8775,8807,9863
19,11028,11060,10996,11092,1095,10964,1063,1127,11124,1031,1159,999,1191,10932,967,1223,1701,1669,11156,1733,1637,1765,1255,935,1605,15260,15292
20,3091,2387,10255,10319,10223,2419,10351,3123,10383,2355,10191,10127,10415,3038,3006,10095,2974,3070,10063,2942,10287,3102,10159,2910,3134,294,262
21,2349,2381,2317,2413,2285,2253,2445,2221,2477,2509,2189,2541,2573,2157,3149,3117,3181,3085,3213,2605,2609,2641,3245,2577,3053,2673,16256
22,1197,1229,1261,1293,1325,1165,1357,1133,1389,1101,1421,1069,1453,1037,1485,1931,1899,1963,1867,1995,1835,2027,1803,1323,1355,1291,1387
23,1868,15126,2060,15158,1932,15094,2092,1836,1964,2028,15190,15062,1996,15222,1804,1900,15254,2124,15030,15286,2156,14998,598,1772,566,534,13804
24,1824,1792,1856,1760,1888,1728,1920,1952,1696,1984,16160,1664,16128,16192,2016,2048,16096,16224,1632,2080,2112,1600,16256,2144,16064,2176,1568
25,402,370,434,338,466,5005,4973,4941,498,306,4909,1458,1426,1554,1522,1394,1490,274,1586,1362,1618,1330,1298,1266,252,1202,220
26,15873,15841,15905,15809,15937,15777,15969,15745,16001,15713,16033,15681,512,544,16065,480,576,15649,608,448,16097,15617,640,15813,15845,416,15781
